               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.018584,           0.0027522,                   0,             0.99421,             0.99775,               0.994,             0.75541,            0.016141,           0.0028528,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.018659,            0.002712,                   0,             0.99544,             0.99925,              0.9942,              0.7563,            0.016081,           0.0028498,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.018609,           0.0026952,                   0,             0.99544,             0.99925,             0.99428,             0.75381,            0.016032,           0.0028451,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.018314,           0.0027051,                   0,             0.99528,             0.99925,             0.99393,             0.75433,            0.016076,           0.0028479,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.018716,           0.0027018,                   0,             0.99551,             0.99911,             0.99404,             0.75493,            0.016083,           0.0028474,                   0,            0.007822,            0.007822,            0.007822
                 112,             0.01839,           0.0027194,                   0,             0.99385,             0.99925,             0.99413,             0.75618,            0.016147,           0.0028429,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.018341,            0.002701,                   0,              0.9951,             0.99775,             0.99397,             0.75404,             0.01605,           0.0028388,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.018595,           0.0027402,                   0,             0.99401,             0.99698,             0.99363,             0.75346,            0.016131,           0.0028336,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.018944,           0.0027237,                   0,             0.99476,              0.9983,             0.99401,             0.75254,             0.01625,           0.0028415,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.018765,           0.0027693,                   0,             0.99401,              0.9977,             0.99361,             0.75446,            0.016114,           0.0028452,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.018767,           0.0027608,                   0,             0.99322,             0.99775,             0.99394,             0.75578,            0.016027,           0.0028439,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.018817,           0.0027817,                   0,               0.995,             0.99775,             0.99399,             0.75477,            0.016118,           0.0028505,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,             0.01884,           0.0027379,                   0,             0.99476,             0.99914,             0.99427,             0.75667,            0.016137,           0.0028482,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.018371,           0.0027289,                   0,             0.99476,             0.99849,             0.99422,             0.75819,            0.016078,           0.0028388,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.018209,           0.0026338,                   0,             0.99353,             0.99925,             0.99411,             0.75668,            0.016092,             0.00284,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.018626,           0.0027334,                   0,             0.99311,              0.9985,              0.9939,             0.75456,             0.01616,           0.0028513,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.018502,           0.0027035,                   0,             0.99328,              0.9991,             0.99412,             0.75469,            0.016155,           0.0028583,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.018317,           0.0026928,                   0,             0.99317,              0.9985,             0.99424,             0.75684,            0.016153,           0.0028515,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.018061,           0.0026609,                   0,             0.99393,             0.99775,             0.99426,             0.75783,            0.016043,           0.0028432,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,            0.018441,           0.0026715,                   0,             0.99402,             0.99842,             0.99424,             0.75657,            0.016076,           0.0028432,                   0,            0.007525,            0.007525,            0.007525
                 127,            0.018064,           0.0026886,                   0,             0.99401,              0.9985,             0.99432,               0.758,            0.016114,           0.0028364,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,             0.01826,           0.0026585,                   0,             0.99402,             0.99845,             0.99447,             0.75701,            0.016125,           0.0028311,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,            0.018304,           0.0027455,                   0,             0.99402,             0.99842,             0.99456,             0.75714,            0.016103,           0.0028283,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,            0.018442,           0.0027067,                   0,             0.99377,             0.99775,             0.99453,             0.75777,            0.016079,           0.0028306,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,            0.018316,           0.0026475,                   0,             0.99386,             0.99775,             0.99449,             0.75899,            0.016074,           0.0028273,                   0,            0.007426,            0.007426,            0.007426
